ID_Vente,Quantity_Ordered,Price_Each,ID_Date,ID_Adresse,ID_Commande
1,1,700,1,1,1
2,1,14.95,2,2,2
3,2,11.99,3,3,3
4,1,149.99,4,4,4
5,1,11.99,5,5,5
6,1,2.99,6,6,6
7,1,389.99,7,7,7
8,1,11.95,8,8,8
9,1,99.99,9,9,9
10,1,150,10,10,10
11,1,150,11,11,11
12,1,1700,12,12,12
13,3,2.99,13,13,13
14,1,149.99,14,14,14
15,1,300,15,15,15
16,1,149.99,16,16,16
17,1,400,17,17,17
18,1,150,18,18,18
19,1,11.95,19,19,19
20,1,3.84,20,20,20
21,1,2.99,21,21,21
22,1,11.95,22,22,22
23,1,600,23,23,23
24,1,150,24,24,24
25,1,3.84,25,25,25
26,2,2.99,26,26,26
27,1,2.99,27,27,27
28,1,11.95,28,28,28
29,1,2.99,29,29,29
30,1,99.99,30,30,30
31,1,150,31,31,31
32,1,150,32,32,32
33,1,389.99,33,33,33
34,1,150,34,34,34
35,1,3.84,35,35,35
36,1,389.99,36,36,36
37,1,11.99,37,37,37
38,1,11.95,38,38,38
39,1,2.99,39,39,39
40,2,11.99,40,40,40
41,1,11.95,41,41,41
42,1,11.95,42,42,42
43,1,11.99,43,43,43
44,1,14.95,44,44,44
45,1,99.99,45,45,45
46,1,14.95,46,46,46
47,1,14.95,47,47,47
48,1,2.99,48,48,48
49,1,14.95,49,49,49
50,1,400,50,50,50
51,1,300,51,51,51
52,1,11.99,52,52,52
53,3,2.99,53,53,53
54,1,389.99,54,54,54
55,1,99.99,55,55,55
56,1,1700,56,56,56
57,1,109.99,57,57,57
58,1,150,58,58,58
59,3,3.84,59,59,59
60,1,3.84,60,60,60
61,1,2.99,61,61,61
62,1,11.95,62,62,62
63,1,99.99,63,63,63
64,1,3.84,64,64,64
65,1,11.95,65,65,65
66,1,14.95,66,66,66
67,1,14.95,67,67,67
68,1,2.99,68,68,68
69,1,150,69,69,69
70,1,150,70,70,70
71,2,2.99,71,71,71
72,1,3.84,72,72,72
73,1,11.95,73,73,73
74,3,2.99,74,74,74
75,1,11.99,75,75,75
76,1,2.99,76,76,76
77,1,149.99,77,77,77
78,2,2.99,78,78,78
79,1,2.99,79,79,79
80,1,379.99,80,80,80
81,1,150,81,81,81
82,1,14.95,82,82,82
83,1,1700,83,83,83
84,1,11.95,84,84,84
85,3,2.99,85,85,85
86,1,149.99,86,86,86
87,1,99.99,87,87,87
88,1,99.99,88,88,88
89,1,3.84,89,89,89
90,1,99.99,90,90,90
91,2,2.99,91,91,91
92,1,11.95,92,92,92
93,1,11.95,93,93,93
94,1,99.99,94,94,94
95,1,600,95,95,95
96,1,11.95,96,96,96
97,1,999.99,97,97,97
98,1,11.95,98,98,98
99,1,11.99,99,99,99
100,1,300,100,100,100
101,1,11.95,101,101,101
102,1,149.99,102,102,102
103,1,11.95,103,103,103
104,5,2.99,104,104,104
105,1,700,105,105,105
106,1,99.99,106,106,106
107,1,2.99,107,107,107
108,1,2.99,108,108,108
109,1,14.95,109,109,109
110,1,600.0,110,110,110
111,1,11.99,111,111,111
112,1,99.99,112,112,112
113,1,150,113,113,113
114,1,11.95,114,114,114
115,1,150,115,115,115
116,1,3.84,116,116,116
117,2,11.95,117,117,117
118,1,14.95,118,118,118
119,1,14.95,119,119,119
120,2,11.95,120,120,120
121,1,14.95,121,121,121
122,1,11.95,122,122,122
123,1,99.99,123,123,123
124,1,389.99,124,124,124
125,1,14.95,125,125,125
126,1,14.95,126,126,126
127,1,14.95,127,127,127
128,2,2.99,128,128,128
129,1,1700,129,129,129
130,2,150,130,130,130
131,1,14.95,131,131,131
132,1,11.99,132,132,132
133,1,3.84,133,133,133
134,1,400,134,134,134
135,1,11.99,135,135,135
136,1,300,136,136,136
137,1,389.99,137,137,137
138,1,11.95,138,138,138
139,1,14.95,139,139,139
140,2,2.99,140,140,140
141,1,14.95,141,141,141
142,1,2.99,142,142,142
143,1,149.99,143,143,143
144,1,11.99,144,144,144
145,1,389.99,145,145,145
146,1,11.99,146,146,146
147,1,11.99,147,147,147
148,1,11.95,148,148,148
149,1,3.84,149,149,149
150,1,11.95,150,150,150
151,1,99.99,151,151,151
152,1,2.99,152,152,152
153,1,2.99,153,153,153
154,1,600,154,154,154
155,1,11.95,155,155,155
156,1,1700,156,156,156
157,1,14.95,157,157,157
158,1,2.99,158,158,158
159,1,14.95,159,159,159
160,1,3.84,160,160,160
161,1,11.99,161,161,161
162,1,99.99,162,162,162
163,1,150,163,163,163
164,1,11.95,164,164,164
165,1,700,165,165,165
166,1,2.99,166,166,166
167,1,11.95,167,167,167
168,1,14.95,168,168,168
169,1,2.99,169,169,169
170,1,999.99,170,170,170
171,1,14.95,171,171,171
172,1,150,172,172,172
173,1,2.99,173,173,173
174,1,14.95,174,174,174
175,1,3.84,175,175,175
176,1,11.99,176,176,176
177,1,11.95,177,177,177
178,1,150,178,178,178
179,1,150,179,179,179
180,1,99.99,180,180,180
181,1,149.99,181,181,181
182,1,11.99,182,182,182
183,2,3.84,183,183,183
184,1,3.84,184,184,184
185,1,600,185,185,185
186,1,11.99,186,186,186
187,1,2.99,187,187,187
188,1,99.99,188,188,188
189,1,150,189,189,189
190,1,11.99,190,190,190
191,2,14.95,191,191,191
192,1,300,192,192,192
193,1,150,193,193,193
194,2,14.95,194,194,194
195,1,150,195,195,195
196,1,11.99,196,196,196
197,1,600,197,197,197
198,1,11.95,198,198,198
199,1,3.84,199,199,199
200,1,150,200,200,200
201,1,379.99,201,201,201
202,1,11.95,202,202,202
203,1,11.95,203,203,203
204,1,600,204,204,204
205,1,389.99,205,205,205
206,1,11.95,206,206,206
207,1,99.99,207,207,207
208,1,700,208,208,208
209,2,11.99,209,209,209
210,1,300,210,210,210
211,1,600,211,211,211
212,1,3.84,212,212,212
213,1,600,213,213,213
214,1,14.95,214,214,214
215,1,2.99,215,215,215
216,1,11.95,216,216,216
217,1,99.99,217,217,217
218,1,2.99,218,218,218
219,1,99.99,219,219,219
220,1,11.95,220,220,220
221,1,600,221,221,221
222,1,99.99,222,222,222
223,1,3.84,223,223,223
224,1,99.99,224,224,224
225,1,1700,225,225,225
226,1,99.99,226,226,226
227,1,150,227,227,227
228,1,2.99,228,228,228
229,1,700,229,229,229
230,1,150,230,230,230
231,1,700,231,231,231
232,1,2.99,232,232,232
233,1,700,233,233,233
234,1,14.95,234,234,234
235,1,11.99,235,235,235
236,1,150,236,236,236
237,2,3.84,237,237,237
238,1,14.95,238,238,238
239,2,2.99,239,239,239
240,1,99.99,240,240,240
241,1,300,241,241,241
242,1,300,242,242,242
243,1,2.99,243,243,243
244,1,150,244,244,244
245,1,700,245,245,245
246,1,700,246,246,246
247,1,150,247,247,247
248,1,14.95,248,248,248
249,1,700,249,249,249
250,1,3.84,250,250,250
251,1,600,251,251,251
252,1,150,252,252,252
253,1,99.99,253,253,253
254,2,3.84,254,254,254
255,1,3.84,255,255,255
256,1,11.95,256,256,256
257,1,300,257,257,257
258,1,11.95,258,258,258
259,1,389.99,259,259,259
260,1,11.95,260,260,260
261,1,99.99,261,261,261
